Designator,Mid X,Mid Y,Rotation,Layer
C1,127.5,-89.0,180.0,top
C2,135.0,-95.5,270.0,top
C3,151.5,-110.0,180.0,top
D1,159.27,-88.0,0.0,top
D2,166.27,-85.0,0.0,top
D3,174.27,-83.0,0.0,top
J1,94.27,-109.0,90.0,top
Q1,129.0,-107.54,270.0,top
Q2,137.46,-85.0,180.0,top
Q3,149.46,-96.0,180.0,top
R1,103.81,-108.0,0.0,top
R2,140.81,-111.0,0.0,top
R3,130.0,-96.81,270.0,top
R4,125.0,-101.19,90.0,top
R5,141.0,-94.19,90.0,top
R6,140.81,-108.0,0.0,top
R7,144.81,-104.0,0.0,top
SW1,108.25,-100.25,0.0,top
